Z,A,E (MeV),tauhalf,a,b,lntn,lnth,lnexp,invsqrtE
84,210,5.304,11960000,77.5967173482068,0.00012995461867723,-63.0454455728023,-0.0370859327555308,16.2970783064868,0.434208421432422
86,291,6.741,3.96,82.9255476754929,0.000133124243523016,-63.0565805084782,-18.2523292745599,1.37624402526639,0.385157036464954
86,220,6.288,55.8,79.1486108887089,0.000133124243523016,-63.1150298020457,-9.99992362817099,4.02177386938726,0.398789517014185
88,223,5.557,987600,80.2662998969251,0.000136293868368802,-63.0487227299285,0.761882223751655,13.8030330364532,0.42420892513576
88,224,5.672,313400,80.3261778753893,0.000136293868368802,-63.0574730005963,-0.778542101089329,12.6552356089041,0.419886478042432
88,226,4.773,50490000000,80.4452685980989,0.000136293868368802,-62.9682266425208,12.0755293303563,24.6450411338172,0.457724630557297
90,227,5.765,1531000,81.4352035434554,0.000139463493214588,-63.0611700276331,0.248843427233027,14.2414316746398,0.416485939411725
90,228,5.358,60360000,81.4948849879905,0.000139463493214588,-63.0230976325094,5.63779575762911,17.9158371918639,0.432014820090587
90,229,4.858,231600000000,81.554348695755,0.000139463493214588,-62.9726568707049,13.18520493268,26.1682775826453,0.453702575672296
90,230,4.657,2379000000000,81.6135964067542,0.000139463493214588,-62.9500767522921,16.5239058448827,28.4977013472494,0.463390238574278
90,232,4.05,4.418E+017,81.7314506918501,0.000139463493214588,-62.8773634399368,28.1556036578154,40.6296336858967,0.496903994999953
92,228,6.59,558,82.4157603755414,0.000142633118060374,-63.1265789212054,-7.0993153239676,6.32435896238131,0.38954469356581
92,230,5.6,1814000,82.5358132088463,0.000142633118060374,-63.0422743191625,4.63564443735299,14.4110449096572,0.422577127364258
92,232,5.21,2304000000,82.6549992230499,0.000142633118060374,-63.0032949272602,10.0896600376853,21.5579125797801,0.438107954338324
92,233,4.817,5043000000000,82.714271451913,0.000142633118060374,-62.9626469692352,16.3145673857073,29.2490222590231,0.455629334105664
92,234,4.7,7576000000000,82.7733320691263,0.000142633118060374,-62.9489250058385,18.277645298118,29.6560064718123,0.461265604014443
92,235,4.394,2.221E+016,82.8321827296772,0.000142633118060374,-62.9138422721995,23.8808331493346,37.639319032817,0.477056671496956
92,236,4.45,7258000000000000,82.8908250686346,0.000142633118060374,-62.9187589030136,22.7442665262039,36.5208807037016,0.474045463139977
92,238,4.19,1.389E+017,83.0074912243829,0.000142633118060374,-62.8858442656762,27.8226059503557,39.472530644671,0.488531968746031
94,236,5.75,90190000,83.8067735933496,0.00014580274290616,-63.0469067823291,4.68527509405783,18.3174291141419,0.41702882811415
94,238,5.48,2769000000,83.9247289170264,0.00014580274290616,-63.0200464491892,8.29138402150156,21.7417520811352,0.42717882885838
94,239,5.148,760800000000,83.9833971089137,0.00014580274290616,-62.9874004174895,13.2044649304255,27.3576363481776,0.440738237789954
94,240,5.151,207000000000,84.0418610948329,0.00014580274290616,-62.9862999174441,13.1003439729389,26.0559846302118,0.440609873657979
94,242,4.88,11770000000000,84.1581826593336,0.00014580274290616,-62.95651082448,17.4099711533733,30.0965750372007,0.452678730212593
96,240,6.4,2333000,84.9504481608197,0.000148972367751947,-63.0948534773352,-1.29667443514316,14.6626655510036,0.395284707521047
96,242,6.1,14070000,85.0680272922951,0.000148972367751947,-63.0680826001371,2.18668544551167,16.4595554290906,0.404888165089458
96,244,5.89,571500000,85.1847994192542,0.000148972367751947,-63.047822713667,4.75295851394074,20.1637750411991,0.412042821715165
