Temps;EA4
0;0,0789454996120185
0,002;0,123898477875628
0,004;0,108745788573287
0,006;0,0562164656585082
0,008;-0,0670254073338583
0,01;-0,155921184574254
0,012;-0,152890646713786
0,014;-0,0836933655664325
0,016;0,0622775413794443
0,018;0,158244573627599
0,02;0,183499055798166
0,022;0,112786505720578
0,024;-0,0392454769462347
0,026;-0,15087028814014
0,028;-0,194307997473516
0,03;-0,126625985256396
0,032;0,0223754595499486
0,034;0,153193677193485
0,036;0,199661924387328
0,038;0,164810738991946
0,04;0,0284365352708846
0,042;-0,0937951584346592
0,044;-0,179660397814587
0,046;-0,171073873876594
0,048;-0,0448014630237594
0,05;0,0971287267748266
0,052;0,192085579736158
0,054;0,1850143247284
0,056;0,0799556788988411
0,058;-0,0821780966361985
0,06;-0,192792728543282
0,062;-0,187236742465757
0,064;-0,100866413442418
0,066;0,0344976109918207
0,068;0,168851456139237
0,07;0,210268806898966
0,072;0,115311953937635
0,074;-0,00388920190744102
0,076;-0,14329394348897
0,078;-0,208450507489033
0,08;-0,154911005287431
0,082;-0,00641465012449771
0,084;0,11733231251128
0,086;0,213804434402846
0,088;0,168346366495825
0,09;0,0521757485112175
0,092;-0,117534371674992
0,094;-0,206935238558799
0,096;-0,189762190682814
0,098;-0,0776322898454964
0,1;0,0718742446042597
0,102;0,198146655457094
0,104;0,187539772945456
0,106;0,099149085348472
0,108;-0,0513676283881068
0,11;-0,175114591023885
0,112;-0,224613376078196
0,114;-0,133697240264155
0,116;0,0127787563251331
0,118;0,160264932201244
0,12;0,206733179395087
0,122;0,149658049689606
0,124;-0,00439429155085236
0,126;-0,128646343830042
0,128;-0,206935238558799
0,13;-0,164002618868835
0,132;-0,0488421801710501
0,134;0,109250878216699
0,136;0,17390235257335
0,138;0,170366725069471
0,14;0,0572266449453309
0,142;-0,0771272002020851
0,144;-0,178145128884353
0,146;-0,173094232450239
0,148;-0,0771272002020851
0,15;0,0622775413794443
0,152;0,152688587550074
0,154;0,183499055798166
0,156;0,0885422028368339
0,158;-0,0341945805121213
0,16;-0,147839750279672
0,162;-0,162992439582013
0,164;-0,117534371674992
0,166;0,0127787563251331
0,168;0,13248500181362
0,17;0,180468517937697
0,172;0,124403567519039
0,174;0,00419223238714039
0,176;-0,0968256962951273
0,178;-0,182185846031643
0,18;-0,153395736357197
0,182;-0,0326793115818873
0,184;0,0925829199841246
